Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.579791488216955, 7.595982682452913;"{""coordinates"": [7.595982682452913, 47.579791488216955], ""type"": ""Point""}";26492;Parkierunfall;1 Unfall mit Sachschaden;2021;11;13;6 Samstag;andere;False;False;False
47.56856218948745, 7.586195457730301;"{""coordinates"": [7.586195457730301, 47.56856218948745], ""type"": ""Point""}";26510;Parkierunfall;1 Unfall mit Sachschaden;2020;7;20;1 Montag;Nebenstrasse;False;False;False
47.56441333117939, 7.573626875136845;"{""coordinates"": [7.573626875136845, 47.56441333117939], ""type"": ""Point""}";26511;Parkierunfall;1 Unfall mit Sachschaden;2012;7;;7 Sonntag;Nebenstrasse;False;False;False
47.555814156418975, 7.574641450119137;"{""coordinates"": [7.574641450119137, 47.555814156418975], ""type"": ""Point""}";26537;Parkierunfall;1 Unfall mit Sachschaden;2011;11;;4 Donnerstag;Nebenstrasse;False;False;False
47.56514308255166, 7.594265202524207;"{""coordinates"": [7.594265202524207, 47.56514308255166], ""type"": ""Point""}";26538;Parkierunfall;1 Unfall mit Sachschaden;2014;4;16;1 Montag;Nebenstrasse;False;False;False
47.55402299360057, 7.58328565909309;"{""coordinates"": [7.58328565909309, 47.55402299360057], ""type"": ""Point""}";26562;Parkierunfall;1 Unfall mit Sachschaden;2013;10;13;4 Donnerstag;Nebenstrasse;False;False;False
47.546246944470255, 7.564734254395413;"{""coordinates"": [7.564734254395413, 47.546246944470255], ""type"": ""Point""}";26564;Parkierunfall;1 Unfall mit Sachschaden;2017;1;13;2 Dienstag;Nebenstrasse;False;False;False
47.56943846971128, 7.575632951862562;"{""coordinates"": [7.575632951862562, 47.56943846971128], ""type"": ""Point""}";26566;Parkierunfall;1 Unfall mit Sachschaden;2016;7;15;4 Donnerstag;Nebenstrasse;False;False;False
47.56029962941063, 7.568859765721922;"{""coordinates"": [7.568859765721922, 47.56029962941063], ""type"": ""Point""}";26567;Parkierunfall;1 Unfall mit Sachschaden;2013;10;21;7 Sonntag;Nebenstrasse;False;False;False
47.5672571331149, 7.606829164464818;"{""coordinates"": [7.606829164464818, 47.5672571331149], ""type"": ""Point""}";26572;Parkierunfall;1 Unfall mit Sachschaden;2021;9;10;5 Freitag;Nebenstrasse;False;False;False
