station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
BAS;13.04.1865 00:00;0.3;;
BAS;14.04.1865 00:00;0;;
BAS;15.04.1865 00:00;6.2;;
BAS;16.04.1865 00:00;3.5;;
BAS;17.04.1865 00:00;0;;
BAS;18.04.1865 00:00;0;;
BAS;19.04.1865 00:00;0;;
BAS;20.04.1865 00:00;0;;
BAS;21.04.1865 00:00;0;;
BAS;22.04.1865 00:00;0;;
BAS;23.04.1865 00:00;0;;
BAS;24.04.1865 00:00;0;;
BAS;25.04.1865 00:00;0;;
BAS;26.04.1865 00:00;0;;
BAS;27.04.1865 00:00;0;;
BAS;28.04.1865 00:00;0;;
BAS;29.04.1865 00:00;0;;
BAS;30.04.1865 00:00;0;;
BAS;01.05.1865 00:00;0;;
BAS;02.05.1865 00:00;0;;
BAS;03.05.1865 00:00;0;;
BAS;04.05.1865 00:00;0;;
BAS;05.05.1865 00:00;0;;
BAS;06.05.1865 00:00;0;;
BAS;07.05.1865 00:00;4;;
BAS;08.05.1865 00:00;0;;
BAS;09.05.1865 00:00;0;;
BAS;10.05.1865 00:00;57.2;;
BAS;11.05.1865 00:00;0;;
BAS;12.05.1865 00:00;2.2;;
BAS;13.05.1865 00:00;0.7;;
BAS;14.05.1865 00:00;0;;
BAS;15.05.1865 00:00;0;;
BAS;16.05.1865 00:00;18.5;;
BAS;17.05.1865 00:00;0;;
BAS;18.05.1865 00:00;3;;
BAS;19.05.1865 00:00;1.5;;
BAS;20.05.1865 00:00;1.5;;
BAS;21.05.1865 00:00;0;;
BAS;22.05.1865 00:00;14.5;;
BAS;23.05.1865 00:00;0.6;;
BAS;24.05.1865 00:00;3.7;;
BAS;25.05.1865 00:00;6.6;;
BAS;26.05.1865 00:00;1;;
BAS;27.05.1865 00:00;0;;
BAS;28.05.1865 00:00;0;;
BAS;29.05.1865 00:00;0;;
BAS;30.05.1865 00:00;0;;
BAS;31.05.1865 00:00;0;;
BAS;01.06.1865 00:00;5.5;;
BAS;02.06.1865 00:00;11.8;;
BAS;03.06.1865 00:00;0.2;;
BAS;04.06.1865 00:00;0.7;;
BAS;05.06.1865 00:00;1.5;;
BAS;06.06.1865 00:00;0;;
BAS;07.06.1865 00:00;0;;
BAS;08.06.1865 00:00;0;;
BAS;09.06.1865 00:00;0;;
BAS;10.06.1865 00:00;0;;
BAS;11.06.1865 00:00;0;;
BAS;12.06.1865 00:00;0;;
BAS;13.06.1865 00:00;0;;
BAS;14.06.1865 00:00;0;;
BAS;15.06.1865 00:00;0;;
BAS;16.06.1865 00:00;0;;
BAS;17.06.1865 00:00;0;;
BAS;18.06.1865 00:00;0;;
BAS;19.06.1865 00:00;0;;
BAS;20.06.1865 00:00;0;;
BAS;21.06.1865 00:00;0;;
BAS;22.06.1865 00:00;0;;
BAS;23.06.1865 00:00;0;;
BAS;24.06.1865 00:00;1.6;;
BAS;25.06.1865 00:00;0;;
BAS;26.06.1865 00:00;0;;
BAS;27.06.1865 00:00;0;;
BAS;28.06.1865 00:00;0;;
BAS;29.06.1865 00:00;0;;
BAS;30.06.1865 00:00;64.5;;
BAS;01.07.1865 00:00;0;;
BAS;02.07.1865 00:00;4.6;;
BAS;03.07.1865 00:00;0;;
BAS;04.07.1865 00:00;0;;
BAS;05.07.1865 00:00;0;;
BAS;06.07.1865 00:00;0;;
BAS;07.07.1865 00:00;0;;
BAS;08.07.1865 00:00;0;;
BAS;09.07.1865 00:00;6.9;;
BAS;10.07.1865 00:00;21.8;;
BAS;11.07.1865 00:00;2.7;;
BAS;12.07.1865 00:00;0;;
BAS;13.07.1865 00:00;3;;
BAS;14.07.1865 00:00;0;;
BAS;15.07.1865 00:00;0;;
BAS;16.07.1865 00:00;0;;
BAS;17.07.1865 00:00;0;;
BAS;18.07.1865 00:00;0;;
BAS;19.07.1865 00:00;0;;
BAS;20.07.1865 00:00;6.5;;
BAS;21.07.1865 00:00;0;;
BAS;22.07.1865 00:00;0.6;;
BAS;23.07.1865 00:00;0;;
BAS;24.07.1865 00:00;0;;
BAS;25.07.1865 00:00;0;;
BAS;26.07.1865 00:00;0;;
BAS;27.07.1865 00:00;2.2;;
BAS;28.07.1865 00:00;4.6;;
BAS;29.07.1865 00:00;0;;
BAS;30.07.1865 00:00;0;;
BAS;31.07.1865 00:00;0;;
BAS;01.08.1865 00:00;10.1;;
BAS;02.08.1865 00:00;3.1;;
BAS;03.08.1865 00:00;0;;
BAS;04.08.1865 00:00;10.3;;
BAS;05.08.1865 00:00;0;;
BAS;06.08.1865 00:00;0;;
BAS;07.08.1865 00:00;0;;
BAS;08.08.1865 00:00;5.8;;
BAS;09.08.1865 00:00;0;;
BAS;10.08.1865 00:00;0;;
BAS;11.08.1865 00:00;0;;
BAS;12.08.1865 00:00;0;;
BAS;13.08.1865 00:00;0;;
BAS;14.08.1865 00:00;14.3;;
BAS;15.08.1865 00:00;0.9;;
BAS;16.08.1865 00:00;0;;
BAS;17.08.1865 00:00;34.4;;
BAS;18.08.1865 00:00;0;;
BAS;19.08.1865 00:00;6.3;;
BAS;20.08.1865 00:00;0;;
BAS;21.08.1865 00:00;0;;
BAS;22.08.1865 00:00;16;;
BAS;23.08.1865 00:00;16.3;;
BAS;24.08.1865 00:00;4.1;;
BAS;25.08.1865 00:00;0;;
BAS;26.08.1865 00:00;0;;
BAS;27.08.1865 00:00;0;;
BAS;28.08.1865 00:00;0;;
BAS;29.08.1865 00:00;0;;
BAS;30.08.1865 00:00;11.1;;
BAS;31.08.1865 00:00;0;;
BAS;01.09.1865 00:00;0;;
BAS;02.09.1865 00:00;0;;
BAS;03.09.1865 00:00;0;;
BAS;04.09.1865 00:00;0;;
BAS;05.09.1865 00:00;0;;
BAS;06.09.1865 00:00;0;;
BAS;07.09.1865 00:00;0;;
BAS;08.09.1865 00:00;0;;
BAS;09.09.1865 00:00;0;;
BAS;10.09.1865 00:00;0;;
BAS;11.09.1865 00:00;0;;
BAS;12.09.1865 00:00;0;;
BAS;13.09.1865 00:00;0;;
BAS;14.09.1865 00:00;0;;
BAS;15.09.1865 00:00;0;;
BAS;16.09.1865 00:00;0;;
BAS;17.09.1865 00:00;0;;
BAS;18.09.1865 00:00;0;;
BAS;19.09.1865 00:00;0;;
BAS;20.09.1865 00:00;0;;
BAS;21.09.1865 00:00;0;;
BAS;22.09.1865 00:00;0;;
BAS;23.09.1865 00:00;0;;
BAS;24.09.1865 00:00;0;;
BAS;25.09.1865 00:00;0;;
BAS;26.09.1865 00:00;0;;
BAS;27.09.1865 00:00;0;;
BAS;28.09.1865 00:00;0;;
BAS;29.09.1865 00:00;0;;
BAS;30.09.1865 00:00;0;;
BAS;01.10.1865 00:00;0;;
BAS;02.10.1865 00:00;0;;
BAS;03.10.1865 00:00;0;;
BAS;04.10.1865 00:00;0;;
BAS;05.10.1865 00:00;0;;
BAS;06.10.1865 00:00;0;;
BAS;07.10.1865 00:00;0;;
BAS;08.10.1865 00:00;0;;
BAS;09.10.1865 00:00;0.2;;
BAS;10.10.1865 00:00;2.2;;
BAS;11.10.1865 00:00;0;;
BAS;12.10.1865 00:00;0.9;;
BAS;13.10.1865 00:00;0;;
BAS;14.10.1865 00:00;3.9;;
BAS;15.10.1865 00:00;0.8;;
BAS;16.10.1865 00:00;0;;
BAS;17.10.1865 00:00;0;;
BAS;18.10.1865 00:00;0;;
BAS;19.10.1865 00:00;3.6;;
BAS;20.10.1865 00:00;0;;
BAS;21.10.1865 00:00;8.1;;
BAS;22.10.1865 00:00;0.8;;
BAS;23.10.1865 00:00;45.3;;
BAS;24.10.1865 00:00;7.9;;
BAS;25.10.1865 00:00;0;;
BAS;26.10.1865 00:00;10.2;;
BAS;27.10.1865 00:00;15.2;;
BAS;28.10.1865 00:00;2.7;;
BAS;29.10.1865 00:00;3.6;;
BAS;30.10.1865 00:00;0.3;;
BAS;31.10.1865 00:00;10.7;;
BAS;01.11.1865 00:00;0;;
BAS;02.11.1865 00:00;12.9;;
BAS;03.11.1865 00:00;10.8;;
BAS;04.11.1865 00:00;13.6;;
BAS;05.11.1865 00:00;3;;
BAS;06.11.1865 00:00;0;;
BAS;07.11.1865 00:00;0;;
BAS;08.11.1865 00:00;0;;
BAS;09.11.1865 00:00;3.2;;
BAS;10.11.1865 00:00;0;;
BAS;11.11.1865 00:00;0;;
BAS;12.11.1865 00:00;0;;
BAS;13.11.1865 00:00;0;;
BAS;14.11.1865 00:00;0;;
BAS;15.11.1865 00:00;0;;
BAS;16.11.1865 00:00;0;;
BAS;17.11.1865 00:00;0;;
BAS;18.11.1865 00:00;6.2;;
BAS;19.11.1865 00:00;1.4;;
BAS;20.11.1865 00:00;0;;
BAS;21.11.1865 00:00;0;;
BAS;22.11.1865 00:00;10.7;;
BAS;23.11.1865 00:00;1.4;;
BAS;24.11.1865 00:00;0;;
BAS;25.11.1865 00:00;0;;
BAS;26.11.1865 00:00;0;;
BAS;27.11.1865 00:00;14;;
BAS;28.11.1865 00:00;0.6;;
BAS;29.11.1865 00:00;1.5;;
BAS;30.11.1865 00:00;3.1;;
BAS;01.12.1865 00:00;4.2;;
